filename_audio,filename_video,scene_label,filename
/home/pmri/WZQ/New_try/TAU_data_audio/airport-prague-1195-45657.wav,/home/pmri/WZQ/New_try/TAU_data_vedio/airport-prague-1195-45657.mp4,airport,airport-prague-1195-45657
/home/pmri/WZQ/New_try/TAU_data_audio/airport-prague-1195-45704.wav,/home/pmri/WZQ/New_try/TAU_data_vedio/airport-prague-1195-45704.mp4,airport,airport-prague-1195-45704
/home/pmri/WZQ/New_try/TAU_data_audio/airport-prague-1195-45749.wav,/home/pmri/WZQ/New_try/TAU_data_vedio/airport-prague-1195-45749.mp4,airport,airport-prague-1195-45749
/home/pmri/WZQ/New_try/TAU_data_audio/airport-prague-1195-45752.wav,/home/pmri/WZQ/New_try/TAU_data_vedio/airport-prague-1195-45752.mp4,airport,airport-prague-1195-45752
/home/pmri/WZQ/New_try/TAU_data_audio/airport-prague-1195-45754.wav,/home/pmri/WZQ/New_try/TAU_data_vedio/airport-prague-1195-45754.mp4,airport,airport-prague-1195-45754
/home/pmri/WZQ/New_try/TAU_data_audio/airport-stockholm-11-449.wav,/home/pmri/WZQ/New_try/TAU_data_vedio/airport-stockholm-11-449.mp4,airport,airport-stockholm-11-449
/home/pmri/WZQ/New_try/TAU_data_audio/airport-stockholm-11-450.wav,/home/pmri/WZQ/New_try/TAU_data_vedio/airport-stockholm-11-450.mp4,airport,airport-stockholm-11-450
/home/pmri/WZQ/New_try/TAU_data_audio/airport-stockholm-11-451.wav,/home/pmri/WZQ/New_try/TAU_data_vedio/airport-stockholm-11-451.mp4,airport,airport-stockholm-11-451
/home/pmri/WZQ/New_try/TAU_data_audio/airport-stockholm-11-452.wav,/home/pmri/WZQ/New_try/TAU_data_vedio/airport-stockholm-11-452.mp4,airport,airport-stockholm-11-452
/home/pmri/WZQ/New_try/TAU_data_audio/airport-stockholm-11-453.wav,/home/pmri/WZQ/New_try/TAU_data_vedio/airport-stockholm-11-453.mp4,airport,airport-stockholm-11-453
/home/pmri/WZQ/New_try/TAU_data_audio/airport-stockholm-11-454.wav,/home/pmri/WZQ/New_try/TAU_data_vedio/airport-stockholm-11-454.mp4,airport,airport-stockholm-11-454
/home/pmri/WZQ/New_try/TAU_data_audio/airport-stockholm-11-455.wav,/home/pmri/WZQ/New_try/TAU_data_vedio/airport-stockholm-11-455.mp4,airport,airport-stockholm-11-455
